Participants,I say sorry when I have done something wrong,It is easy for me to talk about my feelings,I know what I am not good at,Teachers lie and say I have done something wrong,I am good at lining up,Other people make me fight,Teachers tell me I am disturbing the class,I feel sad,I feel worried,I like to talk in front of people,I like to listen to other people's ideas,It is important to respect all cultures,I want to understand how other people feel,"If someone is sad, I will try to help them if I can",I have one good friend or more,I like to be with grown-ups than with people my age,Other people my age like me,Other people my age say I am kind,I follow the rules even when no one is watching,I hand in my homework on time,I think before I do something,I study before a test
65,3,4,3,3,3,4,4,4,4,3,3,5,2,3,4,3,3,3,4,2,3,3
66,5,4,5,5,4,5,4,5,5,5,5,5,5,4,4,4,4,4,5,4,5,5
67,4,2,4,3,4,5,4,2,3,3,4,5,4,5,5,4,5,4,4,4,5,5
68,5,3,3,2,3,2,2,2,4,3,3,5,4,3,4,1,2,4,4,3,2,3
69,5,4,5,2,4,1,2,2,2,5,5,5,5,5,5,3,3,3,5,3,5,5
70,5,2,5,2,2,2,2,5,5,2,3,5,5,5,3,1,1,1,4,2,2,5
71,5,3,4,3,4,2,4,3,3,3,5,5,5,5,4,3,2,2,5,4,4,5
72,5,5,4,5,4,5,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5
73,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,3,5,5,5,5,5,5
74,5,4,2,3,5,4,3,3,4,4,4,5,1,4,5,3,3,4,4,3,5,5
75,3,4,4,3,5,3,4,4,3,4,5,4,5,5,3,2,4,2,5,5,3,5
76,4,4,3,3,3,3,3,3,3,3,4,5,3,4,4,2,3,3,3,3,3,3
77,5,4,4,5,5,5,5,4,3,4,5,5,5,5,5,4,4,4,5,4,4,3
78,3,4,3,4,4,5,3,1,1,2,4,5,4,2,5,5,5,3,4,4,4,3
79,4,5,5,5,4,4,4,5,5,2,4,3,4,5,5,3,2,2,3,4,3,4
80,4,4,5,4,4,4,4,3,3,4,5,5,4,4,5,3,4,4,4,3,3,5
81,4,3,3,4,4,5,4,4,4,1,4,5,3,4,5,3,3,4,4,2,4,4
82,5,3,4,1,3,2,1,2,2,3,5,5,5,5,4,1,4,3,4,4,4,5
83,4,3,5,1,4,3,1,2,3,5,4,5,5,5,5,3,5,5,4,2,4,4
84,4,3,5,1,3,3,1,3,3,3,3,5,5,5,5,4,5,4,2,1,3,1
85,4,3,5,5,5,5,5,4,5,2,4,5,4,4,5,2,4,4,5,4,5,1
86,3,4,4,5,3,3,4,3,4,1,4,4,4,3,5,2,5,5,4,2,2,2
87,4,3,4,4,5,5,4,3,3,2,4,5,4,4,5,4,4,4,4,5,5,5
88,5,3,5,3,4,4,3,2,2,1,4,5,3,5,5,3,4,4,4,4,4,4
89,5,3,4,4,3,5,4,3,2,2,4,5,2,4,4,4,4,3,4,3,5,3
90,4,2,3,5,5,5,4,2,3,2,3,4,3,2,4,2,2,3,4,3,4,2
91,5,4,3,3,5,3,4,3,4,3,5,5,4,5,5,3,4,3,4,5,4,5
92,5,4,4,5,4,4,5,5,5,1,5,5,4,4,5,2,5,5,4,4,4,5
93,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
94,4,4,4,3,5,5,4,4,5,4,5,5,4,5,5,3,4,4,5,5,5,5
95,5,5,5,5,4,5,4,5,5,1,5,5,4,5,5,3,4,4,5,5,5,5
96,5,3,4,4,4,4,5,2,1,3,4,5,5,4,4,2,4,3,4,4,3,5
97,5,3,3,2,5,2,1,2,2,5,4,5,4,4,5,3,4,4,4,5,5,5
98,5,3,3,3,5,5,3,3,5,4,5,5,5,5,5,2,5,5,5,4,4,5
99,5,2,4,4,5,5,5,3,3,1,4,5,4,4,5,4,4,4,5,3,4,4
100,5,3,4,5,5,3,3,3,2,1,5,5,3,5,5,4,3,4,5,5,5,5
101,5,3,4,2,3,2,3,2,4,4,5,1,4,5,4,1,5,4,3,2,4,5
102,5,5,3,5,4,4,4,5,4,1,5,5,5,5,5,4,4,4,4,3,4,4
103,5,3,3,4,4,4,3,5,3,2,4,5,4,4,5,3,3,5,5,4,5,5
104,4,3,4,5,4,3,4,4,4,2,4,5,2,2,5,3,3,3,4,3,3,2
105,3,2,5,3,3,2,3,4,5,3,3,5,4,5,5,5,4,4,2,3,2,1
106,4,3,5,5,5,3,4,2,4,5,4,5,3,4,5,2,3,2,4,4,5,3
